"added_route_id","trip_id"
"24","32787138"
"27","32787138"
"24","32787005"
"27","32787005"
"24","32787144"
"27","32787144"
"24","32787142"
"27","32787142"
"24","32787140"
"27","32787140"
"24","32787145"
"27","32787145"
"24","32787147"
"27","32787147"
"24","32787146"
"27","32787146"
"24","32768623"
"27","32768623"
"32","32769334"
"33","32769334"
"32","32769483"
"33","32769483"
"37","32768363"
"38","32768363"
"37","32768334"
"38","32768334"
"37","32768385"
"38","32768385"
"37","32768345"
"38","32768345"
"37","32768356"
"38","32768356"
"37","32768376"
"38","32768376"
"40","32768789"
"50","32768789"
"40","32768784"
"50","32768784"
"40","32768786"
"50","32768786"
"40","32766213"
"50","32766213"
"40","32766214"
"50","32766214"
"40","32768787"
"50","32768787"
"40","32787004"
"50","32787004"
"40","32787003"
"50","32787003"
"40","32787002"
"50","32787002"
"40","32787001"
"50","32787001"
"40","32787000"
"50","32787000"
"40","32786999"
"50","32786999"
"40","32786998"
"50","32786998"
"40","32786989"
"50","32786989"
"40","32766216"
"50","32766216"
"40","32766210"
"50","32766210"
"40","32768785"
"50","32768785"
"40","32768783"
"50","32768783"
"40","32768788"
"50","32768788"
"40","32768782"
"50","32768782"
"40","32786992"
"50","32786992"
"40","32786990"
"50","32786990"
"40","32786996"
"50","32786996"
"40","32786991"
"50","32786991"
"40","32786995"
"50","32786995"
"40","32786994"
"50","32786994"
"40","32786993"
"50","32786993"
"40","32786997"
"50","32786997"
"441","33114461"
"442","33114461"
"441","33114454"
"442","33114454"
"441","33114453"
"442","33114453"
"441","33114458"
"442","33114458"
"441","33114422"
"442","33114422"
"441","33114450"
"442","33114450"
"441","33114548"
"442","33114548"
"441","33114476"
"442","33114476"
"441","33114455"
"442","33114455"
"441","33114451"
"442","33114451"
"441","33114457"
"442","33114457"
"441","33114456"
"442","33114456"
"441","33114478"
"442","33114478"
"441","33114452"
"442","33114452"
"441","33114460"
"442","33114460"
"62","32853944"
"76","32853944"
"62","32853958"
"76","32853958"
"62","32853940"
"76","32853940"
"62","32853956"
"76","32853956"
"62","32853946"
"76","32853946"
"62","32853948"
"76","32853948"
"62","32853942"
"76","32853942"
"62","32853950"
"76","32853950"
"62","32853936"
"76","32853936"
"62","32853952"
"76","32853952"
"62","32853954"
"76","32853954"
"62","32853938"
"76","32853938"
"62","32853939"
"76","32853939"
"62","32853937"
"76","32853937"
"62","32853941"
"76","32853941"
"62","32853935"
"76","32853935"
"62","32853953"
"76","32853953"
"62","32853943"
"76","32853943"
"62","32853957"
"76","32853957"
"62","32853947"
"76","32853947"
"62","32853955"
"76","32853955"
"62","32853949"
"76","32853949"
"62","32853951"
"76","32853951"
"62","32853945"
"76","32853945"
"72","32833266"
"75","32833266"
"72","32833254"
"75","32833254"
"72","32833250"
"75","32833250"
"72","32833252"
"75","32833252"
"72","32833256"
"75","32833256"
"72","32833262"
"75","32833262"
"72","32833258"
"75","32833258"
"72","32854002"
"75","32854002"
"72","32833260"
"75","32833260"
"72","32833264"
"75","32833264"
"72","32833278"
"75","32833278"
"72","32833296"
"75","32833296"
"72","32833294"
"75","32833294"
"72","32833292"
"75","32833292"
"72","32833290"
"75","32833290"
"72","32833288"
"75","32833288"
"72","32833286"
"75","32833286"
"72","32833284"
"75","32833284"
"72","32833282"
"75","32833282"
"72","32854018"
"75","32854018"
"72","32833280"
"75","32833280"
"72","32833268"
"75","32833268"
"72","32833276"
"75","32833276"
"72","32854016"
"75","32854016"
"72","32854014"
"75","32854014"
